,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
10,AAL,American Airlines Group Inc.,11.84B,Industrials,Airlines,USA,9.91,-,0.4,-,0.95,-,-,-,83.10%,166.10%,-21.70%,16.09%,-5.70%,62.30%,134.00%,1.00%,0.00%,54.30%,-3.48%,2.41,-2.90%,26.20%,-1.60%,0.9,0.8,-,-,57.10%,-3.50%,-6.70%,24.95%,-2.77%,-14.77%,-24.23%,1.50%,5.27%,9.58%,7.28%,-5.62%,-31.32%,43.77%,58.85,11.84,3.4,1.18,33,Industry 3.0,62.96,Jan 20/b,17.89,17.13
12,AAN,"The Aaron's Company, Inc.",666.84M,Industrials,Rental & Leasing Services,USA,7.74,-,0.36,0.92,29.25,20.03,1.91%,12.10%,141.50%,4.68%,10.00%,-12.10%,-1.00%,500.50%,3.50%,2.80%,-2.84%,94.30%,-1.09%,5.31,7.90%,15.10%,15.10%,-,-,0.01,0.01,62.90%,7.90%,5.90%,-6.35%,-16.70%,-24.09%,-19.45%,-15.01%,4.68%,-3.46%,-2.21%,-17.61%,-43.97%,15.05%,46.15,0.67,0.16,1.0,28,Industry 4.0,54.21,Feb 23/a,21.0,29.67
14,AAON,"AAON, Inc.",2.90B,Industrials,Building Products & Equipment,USA,27.88,4.23,5.42,6.26,999.23,-,0.68%,33.90%,-26.60%,24.45%,1.80%,12.00%,6.80%,-67.60%,16.80%,0.50%,-12.69%,72.40%,1.89%,4.26,10.90%,14.50%,11.50%,2.5,1,0.1,0.1,25.80%,13.00%,11.00%,2.41%,-28.98%,-17.07%,-21.15%,-29.96%,3.23%,0.65%,-4.23%,-17.27%,-34.03%,8.01%,47.13,2.9,0.63,2.0,16,Industry 3.0,47.78,Feb 28/a,55.28,71
21,AAWW,"Atlas Air Worldwide Holdings, Inc.",2.51B,Industrials,Airports & Air Services,USA,6,0.51,0.62,0.85,2.75,3.01,-,0.00%,19.70%,-9.14%,56.90%,10.00%,17.00%,-15.50%,24.70%,1.10%,-20.55%,-,4.21%,7.1,7.90%,19.10%,10.80%,0.9,0.9,0.59,0.82,57.70%,17.50%,12.20%,-0.78%,-13.81%,-2.93%,27.27%,-13.17%,3.25%,-11.73%,-7.38%,-5.68%,-22.68%,23.74%,30.94,2.51,0.68,0.54,24,Industry 4.0,59.58,Feb 17/b,75.1,106.43
24,ABB,ABB Ltd,67.22B,Industrials,Specialty Industrial Machinery,Switzerland,18.85,0.98,2.32,4.17,12.3,85.74,2.64%,39.30%,11.00%,7.64%,35.00%,14.60%,3.00%,-,5.40%,-,-,6.00%,0.31%,0.58,11.40%,31.80%,22.00%,1.2,0.9,0.27,0.36,33.00%,19.80%,15.70%,3.95%,-14.40%,-0.03%,5.68%,-13.73%,1.93%,-3.88%,-4.56%,-8.16%,-16.98%,6.74%,41.35,67.22,16.61,3.17,33,Industry 3.0,54.16,Apr 21/b,32.47,40.02
36,ABM,ABM Industries Incorporated,3.06B,Industrials,Specialty Business Services,USA,11.8,1.54,0.46,1.89,65.67,32.73,1.69%,40.30%,1.10%,8.02%,11.10%,16.00%,3.90%,0.80%,29.70%,1.20%,-3.58%,99.20%,0.51%,3.6,3.10%,7.90%,6.10%,1.2,1.2,0.59,0.61,15.00%,3.00%,1.90%,-1.05%,12.77%,-1.52%,-11.14%,12.85%,2.70%,2.22%,6.07%,3.22%,-14.69%,20.86%,58.88,3.06,0.71,1.7,17,Industry 3.0,51.0,Mar 08/a,46.46,58.4
48,ACA,"Arcosa, Inc.",2.73B,Industrials,Infrastructure Operations,USA,24.8,9.82,1.34,1.41,37.47,38.15,0.35%,13.90%,-34.70%,33.47%,-10.80%,4.10%,3.60%,-15.60%,13.70%,0.88%,0.00%,92.80%,-1.02%,4.33,2.30%,3.60%,3.50%,2.1,1.2,0.34,0.35,18.00%,5.30%,3.40%,5.12%,6.95%,15.02%,-11.66%,8.67%,2.68%,-1.33%,9.72%,8.02%,-14.16%,30.84%,55.29,2.73,0.55,2.0,21,Industry 3.0,44.24,Feb 23/a,56.81,65.29
57,ACCO,ACCO Brands Corporation,767.73M,Industrials,Business Equipment & Supplies,USA,4.67,0.77,0.38,0.89,18.63,6.82,3.73%,25.40%,62.70%,10.95%,3.70%,10.00%,5.40%,76.60%,24.00%,3.00%,-6.54%,89.70%,-0.93%,5.6,3.30%,13.00%,7.60%,1.3,0.7,1.1,1.15,30.40%,7.50%,5.00%,-6.72%,-2.90%,-8.21%,-5.29%,-2.54%,2.45%,-3.13%,-3.67%,-6.76%,-18.22%,5.41%,40.37,0.77,0.19,3.6,26,Industry 4.0,53.36,Feb 15/a,7.99,13.75
69,ACHR,Archer Aviation Inc.,1.15B,Industrials,Aerospace & Defense,USA,-,-,-,1.59,1.45,-,-,-,-,-29.60%,-,-,-,-,-,16.80%,5.72%,31.90%,27.15%,2.14,-53.20%,-59.00%,-,26.9,26.9,0.02,0.03,-,-,-,68.40%,-21.39%,-38.22%,-52.54%,-19.70%,10.68%,16.52%,41.07%,-27.65%,-53.87%,89.46%,63.83,1.15,0.25,2.7,16,Industry 3.0,48.32,Mar 14/a,4.95,10.17
80,ACM,AECOM,10.62B,Industrials,Engineering & Construction,USA,19.4,1.92,0.8,4.29,9.81,14.07,0.79%,0.00%,83.70%,13.65%,26.20%,17.59%,-5.20%,50.20%,-1.40%,0.40%,-5.05%,88.70%,-0.58%,4.28,1.80%,7.80%,11.00%,1.1,1.1,0.86,0.88,6.10%,4.90%,1.60%,8.11%,-1.89%,18.04%,14.17%,-1.89%,2.64%,-1.33%,3.60%,10.34%,-4.95%,30.24%,49.82,10.62,2.45,1.1,29,Industry 3.0,50.62,Feb 07/a,76.01,86.56
